book_author,book_link,book_title,file_type_size,language,rate_interest,rate_quality,year
Santanu Pattanayak,https://tr.eg1lib.org/book/5220594/8b1d6a,Intelligent Projects Using Python: 9 real-world AI projects leveraging machine learning and deep learning with TensorFlow and Keras,"PDF, 38.21 MB",english,5.0,5.0,2019
Michael Bowles,https://tr.eg1lib.org/book/5276272/95c188,Machine Learning with Spark™ and Python®: Essential Techniques for Predictive Analytics,"PDF, 7.37 MB",english,0,0,2020
Bradford Tuckfield,https://tr.eg1lib.org/book/11150095/f9dbae,Dive Into Algorithms: A Pythonic Adventure for the Intrepid Beginner,"PDF, 5.27 MB",english,5.0,4.0,2021
Sanjib Sinha,https://tr.eg1lib.org/book/2867857/d2635b,Beginning Ethical Hacking with Python,"PDF, 3.69 MB",english,5.0,0,2017
Harwani,https://tr.eg1lib.org/book/3599388/765a7f,Qt5 Python GUI Programming Cookbook: Building responsive and powerful cross-platform applications with PyQt,"PDF, 4.66 MB",english,0,0,2018
Noah Gift,https://tr.eg1lib.org/book/5310978/ac8214,Python for DevOps: Learn Ruthlessly Effective Automation,"EPUB, 7.32 MB",english,5.0,5.0,2019
Eprogramy,https://tr.eg1lib.org/book/3314119/861539,Python: Crash Course - The Ultimate Beginner's Course to Learning Python Programming in Under 12 Hours,"EPUB, 465 KB",english,0,0,2015
Irv Kalb,https://tr.eg1lib.org/book/3602257/ae26ce,Learn to Program with Python 3: A Step-by-Step Guide to Programming,"PDF, 3.93 MB",english,0,0,2018
Lee Vaughan,https://tr.eg1lib.org/book/6029813/727680,Real-World Python: A Hacker's Guide to Solving Problems with Code,"PDF, 13.45 MB",english,5.0,5.0,2020
Jesús Rogel-Salazar,https://tr.eg1lib.org/book/5495912/4886de,Advanced Data Science and Analytics with Python,"PDF, 22.00 MB",english,0,0,2020
Aidas Bendoraitis,https://tr.eg1lib.org/book/5422789/495673,Django 3 Web Development Cookbook: Actionable solutions to common problems in Python web development,"PDF, 43.16 MB",english,0,5.0,2020
Matt Harrison,https://tr.eg1lib.org/book/5409914/ec1819,"Pandas 1.x Cookbook: Practical recipes for scientific computing, time series analysis, and exploratory data analysis using Python","PDF, 5.15 MB",english,5.0,5.0,2020
Yves Hilpisch,https://tr.eg1lib.org/book/6036977/895265,Artificial Intelligence in Finance: A Python-Based Guide,"PDF, 23.74 MB",english,4.5,5.0,2020
Eric Chou,https://tr.eg1lib.org/book/5395972/f960fe,"Mastering Python Networking: Your one-stop solution to using Python for network automation, programmability, and DevOps","PDF, 12.62 MB",english,0,5.0,2020
Al Sweigart,https://tr.eg1lib.org/book/16371795/307609,The Big Book of Small Python Projects: 81 Easy Practice Programs,"PDF, 7.31 MB",english,5.0,5.0,2021
TJ. O'Connor,https://tr.eg1lib.org/book/1311894/b334dc,"Violent Python: A Cookbook for Hackers, Forensic Analysts, Penetration Testers and Security Engineers","PDF, 7.83 MB",english,4.0,0,2012
Paul Deitel,https://tr.eg1lib.org/book/5553542/3fa9d1,"Intro to Python forComputer Science and Data Science : Learning to Program with AI, Big Data and the Cloud","PDF, 10.84 MB",english,0,0,2020
John V. Guttag,https://tr.eg1lib.org/book/3411055/2856c4,Introduction to Computation and Programming Using Python: With Application to Understanding Data,"PDF, 8.52 MB",english,5.0,0,2016
Eric Matthes,https://tr.eg1lib.org/book/3378460/a9a7e6,Python编程：从入门到实践,"EPUB, 3.47 MB",chinese,5.0,5.0,2016
Jaan Kiusalaas,https://tr.eg1lib.org/book/462425/5f8183,Numerical Methods in Engineering with Python,"PDF, 7.06 MB",english,5.0,5.0,2010
Mahesh Venkitachalam,https://tr.eg1lib.org/book/2619493/38b365,Python Playground: Geeky Projects for the Curious Programmer,"PDF, 11.84 MB",english,5.0,5.0,2015
Alex Galea,https://tr.eg1lib.org/book/3641991/02525f,Applied Data Science with Python and Jupyter,"PDF, 14.28 MB",english,0,3.0,2018
Jason Brownlee,https://tr.eg1lib.org/book/5424860/140ad8,"Deep Learning for Time Series Forecasting - Predict the Future with MLPs, CNNs and LSTMs in Python","PDF, 8.14 MB",english,5.0,5.0,2018
Jason Brownlee,https://tr.eg1lib.org/book/5421678/baea98,Generative Adversarial Networks with Python: Deep Learning Generative Models for Image Synthesis and Image Translation,"PDF, 11.19 MB",english,0,0,2019
Jason Brownlee,https://tr.eg1lib.org/book/5661618/9b954b,"Data Preparation for Machine Learning: Data Cleaning, Feature Selection, and Data Transforms in Python","PDF, 3.12 MB",english,5.0,5.0,2020
Bradley N. Miller,https://tr.eg1lib.org/book/2372277/cc06ff,Problem Solving with Algorithms and Data Structures Using Python SECOND EDITION,"PDF, 4.16 MB",english,5.0,5.0,2011
Katharine Jarmul,https://tr.eg1lib.org/book/3595808/aa4edf,"Python Web Scraping: Hands-on data scraping and crawling using PyQT, Selenium, HTML and Python","PDF, 7.15 MB",english,0,4.0,2017
Zach Codings,https://tr.eg1lib.org/book/5591951/605ae2,"Computer Programming And Cyber Security for Beginners: This Book Includes: Python Machine Learning, SQL, Linux, Hacking with Kali Linux, Ethical Hacking. Coding and Cybersecurity Fundamentals","EPUB, 745 KB",english,5.0,5.0,2019
B.J. Korites,https://tr.eg1lib.org/book/3687303/595f16,Python Graphics: A Reference for Creating 2D and 3D Images,"PDF, 10.41 MB",english,5.0,5.0,2018
Himanshu Singh,https://tr.eg1lib.org/book/4980857/a17f00,"Practical Machine Learning and Image Processing: For Facial Recognition, Object Detection, and Pattern Recognition Using Python","PDF, 4.78 MB",english,5.0,5.0,2019
Felix Zumstein,https://tr.eg1lib.org/book/12341545/8daa29,Python for Excel: A Modern Environment for Automation and Data Analysis,"PDF, 9.08 MB",english,5.0,5.0,2021
郑秋生,https://tr.eg1lib.org/book/5416338/81b658,Python项目案例开发从入门到实战：爬虫、游戏和机器学习,"CBR, 51.16 MB",chinese,4.5,0,2019
Hariom Tatsat,https://tr.eg1lib.org/book/6026102/8496a5,Machine Learning and Data Science Blueprints for Finance: From Building Trading Strategies to Robo-Advisors Using Python,"PDF, 13.64 MB",english,0,5.0,2020
Yuli Vasiliev,https://tr.eg1lib.org/book/5440508/fa3404,Natural Language Processing with Python and spaCy: A Practical Introduction,"EPUB, 4.35 MB",english,5.0,5.0,2020
Jason R. Briggs,https://tr.eg1lib.org/book/1311955/01712e,Python for Kids: A Playful Introduction to Programming,"PDF, 13.28 MB",english,5.0,5.0,2013
埃里克·马瑟斯,https://tr.eg1lib.org/book/11134321/a80148,Python编程：从入门到实践（第2版）,"MOBI , 7.12 MB",chinese,5.0,5.0,2020
Daniel Y. Chen,https://tr.eg1lib.org/book/3311443/7a0126,Pandas for Everyone.  Python Data Analysis,"PDF, 5.63 MB",english,0,0,2017
Ashwin Pajankar,https://tr.eg1lib.org/book/6099153/c1f080,Practical Python Data Visualization: A Fast Track Approach To Learning Data Visualization With Python,"PDF, 4.81 MB",english,5.0,5.0,2021
Anubhav Singh,https://tr.eg1lib.org/book/5558572/62ba4d,"Hands-On Python Deep Learning for the Web: Integrating neural network architectures to build smart web apps with Flask, Django, and TensorFlow","PDF, 17.41 MB",english,4.0,0,2020
Titus A. Beu,https://tr.eg1lib.org/book/2872008/223a4d,Introduction to numerical programming: a practical guide for scientists and engineers using Python and C/C++,"PDF, 8.35 MB",english,5.0,3.0,2015
Furqan Khan,https://tr.eg1lib.org/book/4975325/59cbd8,Hands-On Penetration Testing with Python,"PDF, 107.20 MB",english,4.5,0,2019
Ben Stephenson,https://tr.eg1lib.org/book/5213548/e3d302,The Python Workbook: A Brief Introduction with Exercises and Solutions,"PDF, 5.93 MB",english,4.0,0,2019
Eyal Wirsansky,https://tr.eg1lib.org/book/5396030/ebe595,Hands-On Genetic Algorithms with Python: Applying genetic algorithms to solve real-world deep learning and artificial intelligence problems,"PDF, 8.98 MB",english,5.0,0,2020
John V. Guttag,https://tr.eg1lib.org/book/11284291/ccb571,Introduction to Computation and Programming Using Python,"PDF, 21.91 MB",english,0,0,2021
米切尔,https://tr.eg1lib.org/book/11368486/e12d50,Python网络爬虫权威指南（第 2 版）,"PDF, 9.65 MB",chinese,5.0,5.0,2019
Jason Brownlee,https://tr.eg1lib.org/book/5005189/f7c6c0,XGBoost with Python: Gradient Boosted Trees with XGBoost and scikit-learn,"PDF, 1.18 MB",english,5.0,5.0,2018
Jason Brownlee,https://tr.eg1lib.org/book/5312552/f88950,"Deep Learning for Time Series Forecasting: Predict the Future with MLPs, CNNs and LSTMs in Python","PDF, 8.27 MB",english,5.0,0,2019
Rubin H. Landau,https://tr.eg1lib.org/book/2725893/60d811,Computational Physics: Problem Solving with Python,"PDF, 18.19 MB",english,5.0,0,2015
Ken Youens-Clark,https://tr.eg1lib.org/book/5658370/b57fa4,Tiny Python Projects: Learn coding and testing with puzzles and games,"PDF, 15.29 MB",english,5.0,5.0,2020
塔里克·拉希德（Tariq Rashid）,https://tr.eg1lib.org/book/5433614/7ff09d,Python神经网络编程 Make Your Own Neural Network,"PDF, 32.07 MB",chinese,5.0,5.0,2018
Yves Hilpisch,https://tr.eg1lib.org/book/2600449/eccc29,"Derivatives Analytics with Python: Data Analysis, Models, Simulation, Calibration and Hedging","PDF, 6.47 MB",english,2.0,0,2015
Anirudh Koul,https://tr.eg1lib.org/book/5417428/5d09a0,"Practical Deep Learning for Cloud, Mobile, and Edge: Real-World AI & Computer-Vision Projects Using Python, Keras & TensorFlow","PDF, 26.33 MB",english,4.5,3.5,2019
Al Sweigart,https://tr.eg1lib.org/book/2224953/379262,Hacking Secret Ciphers with Python: A beginner's guide to cryptography and computer programming with Python,"PDF, 6.61 MB",english,0,0,2013
Paul Orland,https://tr.eg1lib.org/book/5535619/a0b800,"Math for Programmers - 3D graphics, machine learning, and simulations with Python","PDF, 33.18 MB",english,0,0,2020
Burkhard Meier,https://tr.eg1lib.org/book/5339203/0ce896,Python GUI Programming Cookbook: Develop functional and responsive user interfaces with tkinter and PyQt5,"PDF, 8.19 MB",english,5.0,5.0,2019
Luciano Ramalho,https://tr.eg1lib.org/book/3676951/3d1fce,"Fluent Python: Clear, Concise, and Effective Programming","PDF, 16.93 MB",english,5.0,5.0,2015
埃里克·马瑟斯 [埃里克·马瑟斯],https://tr.eg1lib.org/book/12468172/b324c2,Python编程：从入门到实践（第2版）（新版上线！！！！沿袭第1版讲解清晰透彻、循序渐进的特点，并全面升级！源代码文件+视频讲解+配套编程环境，零基础自学Python一本就够！）（图灵图书）,"EPUB, 3.42 MB",chinese,5.0,5.0,2020
Alberto Artasanchez,https://tr.eg1lib.org/book/5488347/df55ee,Artificial Intelligence with Python: Your complete guide to building intelligent apps using Python 3.x and TensorFlow 2,"PDF, 15.13 MB",english,5.0,5.0,2020
Vladimir Silva,https://tr.eg1lib.org/book/3642069/6ad6eb,"Practical Quantum Computing for Developers: Programming Quantum Rigs in the Cloud using Python, Quantum Assembly Language and IBM QExperience","PDF, 10.87 MB",english,5.0,0,2019
Michal Jaworski,https://tr.eg1lib.org/book/5216086/74734e,Expert Python Programming,"PDF, 7.25 MB",english,3.0,4.0,2019
Swinnen G.,https://tr.eg1lib.org/book/689661/1bc086,Apprendre a  programmer avec Python.. Avec plus de 40 pages de corriges d'exercices,"PDF, 3.19 MB",french,0,0,2009
Joel Grus,https://tr.eg1lib.org/book/5371810/bf6c13,Data Science from Scratch: First Principles with Python,"PDF, 4.19 MB",english,4.0,1.0,2019
Ryan T. White,https://tr.eg1lib.org/book/11681687/6cc361,Practical Discrete Mathematics: Discover math principles that fuel algorithms for computer science and machine learning with Python,"PDF, 5.81 MB",english,5.0,5.0,2021
Matt Harrison,https://tr.eg1lib.org/book/5248319/f7668e,Machine Learning Pocket Reference: Working with Structured Data in Python,"EPUB, 23.33 MB",english,0,5.0,2019
Joseph Howse,https://tr.eg1lib.org/book/5408454/74425e,"Learning OpenCV 4 Computer Vision with Python 3: Get to grips with tools, techniques, and algorithms for computer vision and machine learning","PDF, 85.67 MB",english,5.0,5.0,2020
Percival,https://tr.eg1lib.org/book/3356357/b28d57,"Test-Driven Development with Python: Obey the Testing Goat: Using Django, Selenium, and JavaScript","PDF, 11.63 MB",english,5.0,0,2017
Kenneth A. Lambert,https://tr.eg1lib.org/book/5275575/e1bc68,Fundamentals Of Python: Data Structures,"PDF, 4.15 MB",english,5.0,5.0,2019
Daniel Y. Chen,https://tr.eg1lib.org/book/3704486/5bd51f,Pandas for Everyone: Python Data Analysis,"EPUB, 36.00 MB",english,0,0,2017
Julian Avila,https://tr.eg1lib.org/book/3554247/be5db7,Scikit-Learn Cookbook: Over 80 Recipes for Machine Learning in Python With Scikit-Learn,"PDF, 7.12 MB",english,0,0,2017
Stefan Jansen,https://tr.eg1lib.org/book/5867328/b4c5ff,"Machine Learning for Algorithmic Trading: Predictive models to extract signals from market and alternative data for systematic trading strategies with Python, 2nd Edition","PDF, 22.07 MB",english,5.0,5.0,2020
Avinash Navlani,https://tr.eg1lib.org/book/11634409/866e42,"Python Data Analysis: Perform data collection, data processing, wrangling, visualization, and model building using Python, 3rd Edition","PDF, 13.06 MB",english,5.0,5.0,2021
Jaime Buelta,https://tr.eg1lib.org/book/5294732/a45a0e,"Hands-On Docker for Microservices with Python: Design, deploy, and operate a complex system with multiple microservices using Docker and Kubernetes","PDF, 17.37 MB",english,0,0,2019
Jesse M. Kinder,https://tr.eg1lib.org/book/2615679/f5fe36,A Student's Guide to Python for Physical Modeling,"PDF, 4.80 MB",english,0,5.0,2015
Charles R. Severance,https://tr.eg1lib.org/book/2799192/dccb48,Python for Everybody,"EPUB, 4.86 MB",english,5.0,4.0,2016
江雪松 & 邹静 & 邓立国 & 翟锟 & 胡锋 & 周晓然 & 王国平 & 白宁超 & 唐聃 & 文俊 & 张若愚 & 洪锦魁,https://tr.eg1lib.org/book/18022723/abacfb,Python数据分析与算法指南（套装共8册）,"EPUB, 342.64 MB",chinese,5.0,5.0,2020
David Amos,https://tr.eg1lib.org/book/11909843/597d41,Python Basics: A Practical Introduction to Python 3,"PDF, 6.46 MB",english,5.0,5.0,2021
Gaston C. Hillar,https://tr.eg1lib.org/book/3514707/7f0cb2,Django RESTful Web Services: The easiest way to build Python RESTful APIs and web services with Django,"PDF, 12.20 MB",english,3.0,3.0,2018
Paul Gries,https://tr.eg1lib.org/book/3694923/796ad5,Practical Programming: An Introduction to Computer Science Using Python 3.6,"PDF, 8.23 MB",english,4.5,0,2017
Al Sweigart,https://tr.eg1lib.org/book/5291157/0f2fbd,"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners","PDF, 13.74 MB",english,5.0,5.0,2020
Kent Lee,https://tr.eg1lib.org/book/2734410/3ae5a8,Data Structures and Algorithms with Python: Undergraduate Topics in Computer Science,"PDF, 13.20 MB",english,5.0,5.0,2015
LazyProgrammer,https://tr.eg1lib.org/book/2740843/6cf9f9,"Convolutional Neural Networks in Python: Master Data Science and Machine Learning with Modern Deep Learning in Python, Theano, and TensorFlow (Machine Learning in Python)","EPUB, 1.21 MB",english,5.0,0,2016
Luciano Ramalho,https://tr.eg1lib.org/book/17194890/bf297b,"Fluent Python, 2nd Edition","PDF, 14.39 MB",english,5.0,3.5,2021
Abhishek Nandy,https://tr.eg1lib.org/book/3420300/0dd593,"Reinforcement Learning: With Open AI, TensorFlow and Keras Using Python","PDF, 11.01 MB",english,0,0,2018
Mariano Anaya,https://tr.eg1lib.org/book/11637627/537f4c,"Clean Code in Python: Develop maintainable and efficient code, 2nd Edition","PDF, 3.00 MB",english,4.0,5.0,2021
Ray Yao,https://tr.eg1lib.org/book/5855207/39e3dc,"Coding Interview, 1000 Questions & Answers: Including Examination of C#, C++, HTML, CSS, JQuery, JavaScript, JAVA, Linux, PHP, MySQL, Python, Visual Basic Courses","EPUB, 275 KB",english,0,0,2020
Reuven M. Lerner,https://tr.eg1lib.org/book/5598977/a2e114,Python Workout: 50 Essential Exercises,"PDF, 9.15 MB",english,4.0,4.5,2020
John T. Wolohan,https://tr.eg1lib.org/book/5395670/79b2c5,Mastering Large Datasets with Python: Parallelize and Distribute Your Python Code,"PDF, 17.41 MB",english,5.0,5.0,2020
Jose Manuel Ortega,https://tr.eg1lib.org/book/11634355/b316e8,Mastering Python for Networking and Security: Leverage the scripts and libraries of Python version 3.7 and beyond to overcome networking and security issues,"PDF, 7.02 MB",english,5.0,4.0,2021
Stefan Jansen,https://tr.eg1lib.org/book/5690419/79c063,"Machine Learning for Algorithmic Trading: Predictive models to extract signals from market and alternative data for systematic trading strategies with Python, 2nd Edition","EPUB, 27.14 MB",english,5.0,0,2020
Jason Brownlee,https://tr.eg1lib.org/book/5566238/0c36c8,Long Short-Term Memory Networks With Python: Develop Sequence Prediction Models With Deep Learning,"PDF, 6.78 MB",english,5.0,5.0,2017
Paul J. Deitel,https://tr.eg1lib.org/book/5623580/cb98d6,"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud","PDF, 73.52 MB",english,5.0,0,2020
R. M. Lewis,https://tr.eg1lib.org/book/3715077/0a2b7b,Tutorial fácil de seguir para aprender la programación de Python en menos de una semana,"PDF, 477 KB",spanish,5.0,5.0,2017
Yves Hilpisch,https://tr.eg1lib.org/book/2481325/ffc896,Python for Finance: Analyze Big Financial Data,"PDF, 10.49 MB",english,5.0,0,2014
Palash Goyal,https://tr.eg1lib.org/book/3606242/b2b146,Deep Learning for Natural Language Processing: Creating Neural Networks with Python,"PDF, 7.29 MB",english,0,2.0,2018
吴茂贵 [吴茂贵],https://tr.eg1lib.org/book/11374899/b93a33,Python深度学习：基于PyTorch (智能系统与技术丛书),"PDF, 21.55 MB",chinese,5.0,5.0,2019
Clenow,https://tr.eg1lib.org/book/5256907/ced2a5,Trading Evolved: Anyone can Build Killer Trading Strategies in Python,"EPUB, 3.74 MB",english,0,0,2019
Wei-Meng Lee,https://tr.eg1lib.org/book/4977600/afba24,Python Machine Learning,"PDF, 8.73 MB",english,0,0,2019
Irv Kalb,https://tr.eg1lib.org/book/18215017/a0bafa,Object-Oriented Python,"PDF, 4.89 MB",english,4.5,0,2022
Brian Allbee,https://tr.eg1lib.org/book/3655462/b894c7,Hands-On Software Engineering with Python: Move beyond basic programming and construct reliable and efficient software with complex code,"PDF, 19.69 MB",english,0,0,2018
Gayathri Rajagopalan,https://tr.eg1lib.org/book/11078294/7bcf98,A Python Data Analyst’s Toolkit: Learn Python And Python-based Libraries With Applications In Data Analysis And Statistics,"PDF, 7.88 MB",english,0,0,2021
Steven F. Lott,https://tr.eg1lib.org/book/16673465/eb3756,Python Object-Oriented Programming: Build robust and maintainable object-oriented Python applications and libraries,"PDF, 6.51 MB",english,4.5,5.0,2021
Miguel Rocha,https://tr.eg1lib.org/book/3640872/7b7be1,Bioinformatics Algorithms: Design and Implementation in Python,"PDF, 6.70 MB",english,5.0,5.0,2018
Jan Erik Solem,https://tr.eg1lib.org/book/1291523/a76e85,Programming Computer Vision with Python: Tools and algorithms for analyzing images,"PDF, 68.84 MB",english,0,0,2012
Hans Petter Langtangen,https://tr.eg1lib.org/book/437854/ea8793,Python Scripting For Computational Science,"PDF, 3.94 MB",english,0,0,2009
Cooper,https://tr.eg1lib.org/book/5901919/0b454f,"Data science from scratch: the #1 data science guide for everything a data scientist needs to know: Python, linear algebra, statistics, coding, applications, neural networks, and decision trees","EPUB, 1.05 MB",english,5.0,5.0,2018
嵩天，礼欣，黄天羽 著,https://tr.eg1lib.org/book/5456598/3c3de6,Python语言程序设计基础（第2版）,"PDF, 48.17 MB",chinese,3.0,1.0,2017
Tristan Bunn,https://tr.eg1lib.org/book/11942851/b430da,Learn Python Visually: Creative Coding with Processing.py,"PDF, 9.01 MB",english,0,5.0,2021
Allen B. Downey,https://tr.eg1lib.org/book/2737524/36f8a7,"Think Python, 2nd Edition: How to Think Like a Computer Scientist","PDF, 5.35 MB",english,5.0,3.0,2015
Felix Zumstein,https://tr.eg1lib.org/book/11333428/a3c164,Python for Excel,"EPUB, 9.61 MB",english,3.0,0,2021
刘河飞 & 闫凯峰,https://tr.eg1lib.org/book/17528738/1c330e,"趣学Python算法100例（详解100个趣味编程算法实例，为Python初学者打造，培养编程兴趣，拓宽编程思维,提高编程能力和算法设计能力）","EPUB, 17.23 MB",chinese,3.0,0,2020
Ankur A. Patel,https://tr.eg1lib.org/book/5225519/8946f2,Hands-On Unsupervised Learning Using Python: How to Build Applied Machine Learning Solutions from Unlabeled Data,"PDF, 5.97 MB",english,0,0,2019
Adrienne B. Tacke [Tacke,https://tr.eg1lib.org/book/5545979/5d76cf,Coding for Kids: Python: Learn to Code with 50 Awesome Games and Activities,"PDF, 8.93 MB",english,5.0,5.0,2019
Hannah Stepanek,https://tr.eg1lib.org/book/5559338/202feb,Thinking in Pandas: How to Use the Python Data Analysis Library the Right Way,"PDF, 2.31 MB",english,0,5.0,2020
宋天龙,https://tr.eg1lib.org/book/5422101/d84de5,Python数据分析与数据化运营,"PDF, 17.77 MB",chinese,3.5,0,2017
Dipanjan Sarkar,https://tr.eg1lib.org/book/5242222/716a97,Text Analytics with Python - A Practitioner's Guide to Natural Language Processing,"PDF, 17.25 MB",english,5.0,5.0,2019
Harrison Kinsley,https://tr.eg1lib.org/book/6150126/9c7ddb,Neural Networks from Scratch in Python,"PDF, 42.65 MB",english,5.0,5.0,2020
John M. Zelle,https://tr.eg1lib.org/book/3405239/5a87e0,Python Programming: An Introduction to Computer Science,"PDF, 5.70 MB",english,0,0,2016
Denis Rothman,https://tr.eg1lib.org/book/11722732/283403,"Transformers for Natural Language Processing: Build innovative deep neural network architectures for NLP with Python, PyTorch, TensorFlow, BERT, RoBERTa, and more","PDF, 5.52 MB",english,4.0,5.0,2021
Joseph Howse,https://tr.eg1lib.org/book/3647627/667c74,Opencv: Computer Vision Projects with Python,"PDF, 13.56 MB",english,0,0,2016
Micha Gorelick,https://tr.eg1lib.org/book/5490510/6b9206,High Performance Python: Practical Performant Programming for Humans,"EPUB, 5.71 MB",english,0,5.0,2020
David Griffiths,https://tr.eg1lib.org/book/660071/40bede,Head First Programming: A Learner's Guide to Programming Using the Python Language,"PDF, 16.83 MB",english,5.0,4.5,2009
Julien Danjou,https://tr.eg1lib.org/book/3709710/9e8e08,"Serious Python: Black-Belt Advice on Deployment, Scalability, Testing, and More","PDF, 4.72 MB",english,5.0,5.0,2019
Tim J. Stevens,https://tr.eg1lib.org/book/2573588/01aafc,Python Programming for Biology: Bioinformatics and Beyond,"PDF, 7.75 MB",english,5.0,3.0,2015
Gábor Szabó,https://tr.eg1lib.org/book/6056587/1ba51d,1000 Python Examples,"PDF, 2.05 MB",english,0,0,2020
